Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
11/06/2020,Apple Cloud Storage,PURCHASE   1105 APPLE.COM/BILL                              408-974-1010 CA 24430990310828322843294,29.99,debit,Subscription,Adv Plus Banking - 1705,,
11/05/2020,RAPIDAPI - overuse payment,RAPIDAPI,13.75,debit,Hobbies,CREDIT CARD,,
11/05/2020,Disney Plus,DisneyPLUS,6.0,debit,Subscription,CREDIT CARD,,
11/05/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:MICROSOFT XBOX            INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,11.01,debit,Subscription,Adv Plus Banking - 1705,,
11/04/2020,Ralphs,RALPHS 0278,10.65,debit,Groceries,CREDIT CARD,,
11/04/2020,Apple Cloud Storage,PURCHASE   1103 APPLE.COM/BILL                              866-712-7753 CA 24692160308100318196153 RECURRING,0.99,debit,Subscription,Adv Plus Banking - 1705,,
11/04/2020,Venmo Payment,VENMO            DES:PAYMENT    ID:XXXXX79042                INDN:ELI RODKEY              CO ID:XXXXX81992 WEB,1405.0,debit,Transfer,Adv Plus Banking - 1705,,
11/04/2020,Venmo Payment,VENMO            DES:PAYMENT    ID:XXXXX81240                INDN:ELI RODKEY              CO ID:XXXXX81992 WEB,500.64,debit,Transfer,Adv Plus Banking - 1705,,
11/04/2020,Subscription    ,Subscription     DES:Acorns     ID:HYJN91                    INDN:Elias Rodkey            CO ID:XXXXX42694 WEB,3.0,debit,Entertainment,Adv Plus Banking - 1705,,
11/03/2020,Robinhood,ROBINHOOD        DES:Funds      ID:XXXXX2049                 INDN:Elias Rodkey            CO ID:XXXXX64776 WEB,20.0,debit,Investments,Adv Plus Banking - 8815,,
11/03/2020,Interest Earned,Interest Earned,0.04,credit,Interest Income,Regular Savings - 1721,,
11/02/2020,Ralphs,RALPHS 0278,38.52,debit,Groceries,CREDIT CARD,,
11/02/2020,3 months utilities + food deliveries,3 months utilities + food deliveries,500.64,debit,Utilities,Venmo,,
11/02/2020,Pasta Night Dish,Pasta night and dish washing stuff,21.5,credit,Income,Venmo,,
11/02/2020,November rent,November rent,1405.0,debit,Mortgage & Rent,Venmo,,
11/02/2020,Online Banking transfer to CHK 1705 Confirmation# 1135786492,Online Banking transfer to CHK 1705                         Confirmation# 1135786492,1700.0,debit,Transfer,Adv Plus Banking - 8815,,
11/02/2020,Online Banking transfer from CHK 8815 Confirmation# 1135786492,Online Banking transfer from CHK 8815                       Confirmation# 1135786492,1700.0,credit,Transfer,Adv Plus Banking - 1705,,
11/02/2020,Acorns Invest,Acorns Invest    DES:Transfer   ID:3MW6KL                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,10.0,debit,Deposit,Adv Plus Banking - 1705,,
11/01/2020,Ralphs,RALPHS 0278,35.34,debit,Groceries,CREDIT CARD,,
11/01/2020,Opping Me Off 1 For Drive,"-$1 for dropping me off at the wrong terminal, +$1 for playing Michael Bubl Christmas",10.0,credit,Income,Venmo,,
10/29/2020,Goodwill Industries,GOODWILL STORE #0011,18.0,debit,Shopping,CREDIT CARD,,
10/29/2020,Ralphs,RALPHS 0278,33.13,debit,Groceries,CREDIT CARD,,
10/28/2020,T-Shirt Warehouse,T-SHIRT WAREHOUSE,47.34,debit,Clothing,CREDIT CARD,,
10/27/2020,Groceries Last Week,Groceries last week,81.0,credit,Reimbursement,Venmo,,
10/26/2020,LA CITY PARKING METER,LA CITY PARKING METER,2.0,debit,Parking,CREDIT CARD,,
10/26/2020,Shell,SHELL OIL 12636254000,1.59,debit,Gas & Fuel,CREDIT CARD,,
10/26/2020,EDD income,"BANK OF AMERICA  DES:FndTrnsfr  ID:RODKEY,ELIAS,P            INDN:RODKEY,ELIAS,P          CO ID:XXXXX21694 WEB",1200.0,credit,Paycheck,Adv Plus Banking - 8815,,
10/26/2020,Audible.com,CHECKCARD  1024 Audible*2T11P2D10                           Amzn.com/billNJ 24692160298100831569227,14.95,debit,Books,Adv Plus Banking - 1705,,
10/25/2020,In-N-Out Burger,IN N OUT BURGER 117,12.76,debit,Fast Food,CREDIT CARD,,
10/23/2020,Xbox Live,PAYPAL           DES:INST XFER  ID:SPOTIFYUSAI               INDN:ELIAS RODKEY            CO ID:PAYPALSI77 WEB,5.38,debit,Subscription,Adv Plus Banking - 1705,,
10/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
10/21/2020,Ralphs,RALPHS 0278,175.93,debit,Groceries,CREDIT CARD,,
10/21/2020,Ralphs Run,Ralphs run 10/6,11.5,credit,Income,Venmo,,
10/21/2020,Brews Batteries,Brews and batteries,27.4,credit,Income,Venmo,,
10/21/2020,Acorns Invest,Acorns Invest    DES:Transfer   ID:X1KW9L                    INDN:Elias Rodkey            CO ID:XXXXX42693 WEB,5.05,debit,Deposit,Adv Plus Banking - 1705,,
10/21/2020,CHASE CREDIT CRD,CHASE CREDIT CRD DES:EPAY       ID:XXXXX99326                INDN:ELIAS P RODKEY          CO ID:XXXXX39224 WEB,917.37,debit,Credit Card Payment,Adv Plus Banking - 1705,,
10/20/2020,eBay,PAYPAL *BL3SELLER4U EBAY,3.27,debit,Shopping,CREDIT CARD,,
10/20/2020,Payment Thank You-Mobile,Payment Thank You-Mobile,917.37,credit,Credit Card Payment,CREDIT CARD,,
10/19/2020,Ralphs,RALPHS 0278,18.63,debit,Groceries,CREDIT CARD,,
10/19/2020,Amazon Purchase,Amazon Prime*2T4PD70R1,14.22,debit,Amazon Purchases,CREDIT CARD,,
10/18/2020,Amazon Purchase,AMZN Mktp US*2T91L5LG0,26.62,debit,Amazon Purchases,CREDIT CARD,,
10/18/2020,Amazon Purchase,Amazon.com*2T02Z8CX0,21.89,debit,Amazon Purchases,CREDIT CARD,,
10/18/2020,Amazon Purchase,AMZN Mktp US*2T8TA74P0,36.32,debit,Amazon Purchases,CREDIT CARD,,
9/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
9/08/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,41.56,credit,Credit Card Payment,Discover,,
9/05/2020,LMU BOOKSTORE LOS ANGELES CA,LMU BOOKSTORE LOS ANGELES CA,41.56,debit,Books,Discover,,
8/26/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,17.45,credit,Credit Card Payment,Discover,,
8/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
8/21/2020,SUSHI TAO ARCATA CA,SUSHI TAO ARCATA CA,9.75,debit,Restaurants,Discover,,
7/28/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,7.7,credit,Credit Card Payment,Discover,,
7/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
7/22/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,18.46,credit,Credit Card Payment,Discover,,
7/17/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,18.46,debit,Groceries,Discover,,
7/15/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,11.66,credit,Credit Card Payment,Discover,,
6/30/2020,Chick-Fil-A,CHICK-FIL-A #03331 CULVER CITY CA,11.66,debit,Fast Food,Discover,,
6/29/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,7.7,credit,Credit Card Payment,Discover,,
6/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
6/08/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,9.43,credit,Credit Card Payment,Discover,,
5/29/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,93.04,credit,Credit Card Payment,Discover,,
5/28/2020,Epic Wings,EPIC WINGS CORONA CA,9.43,debit,Restaurants,Discover,,
5/25/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,50.88,credit,Credit Card Payment,Discover,,
5/24/2020,Nike,NIKE.COM 800-806-6453 OR,93.04,debit,Clothing,Discover,,
5/23/2020,Lowe's,"LOWE'S OF TEMECULA, CA TEMECULA CA",24.24,debit,Home Improvement,Discover,,
5/22/2020,Waba Grill,TST* WABA GRILL - VICTOR VICTORVILLE CA,10.12,debit,Fast Food,Discover,,
5/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
5/21/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,146.82,credit,Credit Card Payment,Discover,,
5/20/2020,Pick Up Stix,PICK UP STIX 759 SOUTH C CORONA CA,8.82,debit,Fast Food,Discover,,
5/19/2020,Jimmy John's,JIMMY JOHNS - 3428 NORCO CA,16.78,debit,Restaurants,Discover,,
5/17/2020,RAISING CANE'S #366 TEMECULA CA,RAISING CANE'S #366 TEMECULA CA,17.13,debit,Fast Food,Discover,,
5/17/2020,Lowe's,"LOWE'S OF TEMECULA, CA TEMECULA CA",112.91,debit,Home Improvement,Discover,,
5/15/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,92.51,credit,Credit Card Payment,Discover,,
5/13/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,60.1,credit,Credit Card Payment,Discover,,
5/12/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,92.51,debit,Groceries,Discover,,
5/10/2020,Togo's,TOGOS - WESTCHESTER LOS ANGELES CA,13.13,debit,Restaurants,Discover,,
5/08/2020,In-N-Out Burger,IN N OUT BURGER 117 LOS ANGELES CA,23.16,debit,Fast Food,Discover,,
5/05/2020,The Toll Roads,THE TOLL ROADS OF OC 949-727-4800 CA2904738156,14.54,debit,Parking,Discover,,
5/03/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,9.27,debit,Groceries,Discover,,
5/01/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,149.04,credit,Credit Card Payment,Discover,,
4/27/2020,CVS,CVS/PHARMACY #08886 LOS ANGELES CA,18.06,debit,Pharmacy,Discover,,
4/27/2020,In-N-Out Burger,IN N OUT BURGER 117 LOS ANGELES CA,6.9,debit,Restaurants,Discover,,
4/24/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,116.38,debit,Groceries,Discover,,
4/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
4/15/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,121.1,credit,Credit Card Payment,Discover,,
4/10/2020,CASHBACK REDEMPTION,CASHBACK BONUS REDEMPTION PYMT/STMT CRDT,64.93,credit,Cash Back,Discover,,
4/08/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,20.25,debit,Groceries,Discover,,
3/30/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,137.83,debit,Groceries,Discover,,
3/22/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,20.25,debit,Groceries,Discover,,
3/22/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,126.71,credit,Credit Card Payment,Discover,,
3/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
3/16/2020,Subway,SUBWAY 00118125255 WEST CHESTER CA,35.38,debit,Fast Food,Discover,,
3/13/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,86.13,debit,Groceries,Discover,,
3/13/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,229.06,credit,Credit Card Payment,Discover,,
3/12/2020,Steam Games,STEAMGAMES.COM BELLEVUE WA,19.99,debit,Video Games,Discover,,
3/12/2020,Staples,STAPLES 00109512105 WESTCHESTER CA,21.89,credit,Office Supplies,Discover,,
3/12/2020,Staples,STAPLES 00109512105 WESTCHESTER CA,14.22,credit,Office Supplies,Discover,,
3/12/2020,Shake Shack,SHAKE SHACK - 1249 MARINA DEL RECA01295R,5.57,debit,Fast Food,Discover,,
3/11/2020,Firehouse Subs,FIREHOUSE SUBS #1483 YUCCA VALLEY CA,15.75,debit,Fast Food,Discover,,
3/10/2020,CAFE RIO MORENO VALLEY MORENO VALLEYCA,CAFE RIO MORENO VALLEY MORENO VALLEYCA,6.98,debit,Restaurants,Discover,,
3/09/2020,Rite Aid,RITE AID STORE - 5647 SAN DIEGO CAAPPLE PAY ENDING,2.99,debit,Pharmacy,Discover,,
3/09/2020,SUNNIE'S OCEAN BEA SAN DIEGO CA000115292150911,SQ *SUNNIE'S OCEAN BEA SAN DIEGO CA000115292150911,8.61,debit,Fast Food,Discover,,
3/07/2020,MAVERICKS SANDIEGO CA,MAVERICKS SANDIEGO CA,6.72,debit,Alcohol & Bars,Discover,,
3/06/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,24.38,debit,Groceries,Discover,,
3/06/2020,Uber.com,UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 05413,6.81,debit,Rental Car & Taxi,Discover,,
3/06/2020,Oscars Mexican Seafood,OSCARS MEXICAN SEAFOOD SAN DIEGO CA,16.45,debit,Restaurants,Discover,,
3/06/2020,Summers Sports Bar,SQ *SUMMERS SPORTS BAR REDONDO BEACHCA000115292150,13.23,debit,Alcohol & Bars,Discover,,
3/06/2020,Uber.com,UBER TRIP 866-576-1039 CAAPPLE PAY ENDING IN 05414,11.54,debit,Rental Car & Taxi,Discover,,
3/05/2020,Shake Shack,SHAKE SHACK - 1249 MARINA DEL RECA00597R,6.56,debit,Fast Food,Discover,,
3/01/2020,Fresh Market,CALIFORNIA FRESH MARKET SAN LUIS OBISCA,1.09,debit,Groceries,Discover,,
3/01/2020,Fresh Market,CALIFORNIA FRESH MARKET SAN LUIS OBISCA,5.39,debit,Groceries,Discover,,
3/01/2020,In-N-Out Burger,IN N OUT BURGER 108 GOLETA CA,9.43,debit,Fast Food,Discover,,
2/29/2020,Union 76,UNION 76 ENCINO CA,33.95,debit,Gas & Fuel,Discover,,
2/29/2020,Taqueria Santa Cruz,TAQUERIA SANTA CRUZ EXPR SAN LUIS OBISCA,9.67,debit,Restaurants,Discover,,
2/28/2020,Benny's Tacos,BENNYS TACOS LOS ANGELES CA,11.79,debit,Restaurants,Discover,,
2/28/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,434.72,credit,Credit Card Payment,Discover,,
2/27/2020,Baja Sharkeez Manhattan Beach,BAJA SHARKEEZ - MANHATTA MANHATTAN BEACA,26.28,debit,Alcohol & Bars,Discover,,
2/27/2020,Baja Sharkeez Manhattan Beach,BAJA SHARKEEZ - MANHATTA MANHATTAN BEACA,27.19,debit,Alcohol & Bars,Discover,,
2/26/2020,Loyola Marymount University,LOYOLA MARYMOUNT UNIV HA LOS ANGELES CAAPPLE PAY E,7.65,debit,Tuition,Discover,,
2/25/2020,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,2.58,debit,Books,Discover,,
2/25/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,31.19,debit,Groceries,Discover,,
2/23/2020,JAMESON'S PUB SANTA MONICA CA,JAMESON'S PUB SANTA MONICA CA,25.97,debit,Alcohol & Bars,Discover,,
2/22/2020,Vons,VONS #4021 LOS ANGELES CA,46.46,debit,Groceries,Discover,,
2/22/2020,Subway,SUBWAY 00118125255 WEST CHESTER CA,8.75,debit,Fast Food,Discover,,
2/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
2/21/2020,Staples,STAPLES 00109512105 WESTCHESTER CA,23.52,debit,Office Supplies,Discover,,
2/21/2020,Staples,STAPLES 00109512105 WESTCHESTER CA,36.11,debit,Office Supplies,Discover,,
2/20/2020,HOPDODDY LA P-V PLAYA VISTA CA02089R,HOPDODDY LA P-V PLAYA VISTA CA02089R,10.9,debit,Restaurants,Discover,,
2/20/2020,Office Depot,OFFICE DEPOT #951 CULVER CITY CA,90.18,debit,Office Supplies,Discover,,
2/20/2020,ACE Parking,ACE PARKING 2231 PLAYA VISTA CA,1.0,debit,Parking,Discover,,
2/19/2020,KALAMAKI LOS ANGELES CA0002305843012778006490,SQ *KALAMAKI LOS ANGELES CA0002305843012778006490,13.14,debit,Hair,Discover,,
2/17/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,3.27,debit,Groceries,Discover,,
2/15/2020,ACE Parking,ACE PARKING 2207 LOS ANGELES CA,26.35,debit,Parking,Discover,,
2/14/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,154.18,credit,Credit Card Payment,Discover,,
2/13/2020,Baja Sharkeez Manhattan Beach,BAJA SHARKEEZ - MANHATTA MANHATTAN BEACA,20.52,debit,Alcohol & Bars,Discover,,
2/12/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,79.43,debit,Groceries,Discover,,
2/11/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,42.32,debit,Groceries,Discover,,
2/08/2020,BONAVENTURE BREWING CO LOS ANGELES CA,BONAVENTURE BREWING CO LOS ANGELES CA,33.54,debit,Restaurants,Discover,,
2/08/2020,McDonald's,MCDONALD'S F17115 MARINA DL REYCA,11.26,debit,Fast Food,Discover,,
2/08/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,65.76,debit,Groceries,Discover,,
2/06/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,1.3,debit,Groceries,Discover,,
1/31/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,340.65,credit,Credit Card Payment,Discover,,
1/23/2020,Sp Rowdy Gentleman,SP * ROWDY GENTLEMAN 8662929694 TX,43.25,credit,Clothing,Discover,,
1/22/2020,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
1/21/2020,Subway,SUBWAY 00118125255 WEST CHESTER CA,22.91,debit,Fast Food,Discover,,
1/21/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,35.0,credit,Credit Card Payment,Discover,,
1/18/2020,Home Depot,THE HOME DEPOT #6611 LOS ANGELES CA,42.05,debit,Home Improvement,Discover,,
1/18/2020,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,300.0,credit,Credit Card Payment,Discover,,
1/17/2020,Ralphs,RALPHS #0278 LOS ANGELES CA,29.08,debit,Groceries,Discover,,
1/17/2020,The Loft,LMU- HANNON LOFT LOS ANGELES CA,6.0,debit,Alcohol & Bars,Discover,,
1/14/2020,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,23.65,debit,Books,Discover,,
1/14/2020,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,326.49,debit,Books,Discover,,
1/14/2020,Shell,SHELL 57444404008 LOS ANGELES CA,36.2,debit,Gas & Fuel,Discover,,
1/13/2020,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,23.59,debit,Books,Discover,,
1/13/2020,Staples,2STAPLES CE14547301307 LOS ANGELES CA,15.0,debit,Office Supplies,Discover,,
1/13/2020,UNIFIED VALET PARKING 12 LOS ANGELES CA,UNIFIED VALET PARKING 12 LOS ANGELES CA,30.0,debit,Parking,Discover,,
12/28/2019,TRIPLE KNOCK TACOMA WA,TRIPLE KNOCK TACOMA WA,32.0,debit,Alcohol & Bars,Discover,,
12/24/2019,Antique Sandwich Co,ANTIQUE SANDWICH COMPANY TACOMA WA,38.51,debit,Fast Food,Discover,,
12/24/2019,TJ Maxx,TJMAXX #0604 TACOMA WA,14.32,debit,Clothing,Discover,,
12/22/2019,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,7.7,debit,Subscription,Discover,,
12/21/2019,Walgreens,WALGREENS #11527 TACOMA WA,55.99,debit,Pharmacy,Discover,,
12/21/2019,ELKS DOCS GAME ROOM TACOMA WA,ELKS DOCS GAME ROOM TACOMA WA,7.71,debit,Alcohol & Bars,Discover,,
12/17/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,54.2,credit,Credit Card Payment,Discover,,
12/11/2019,CRIMSON LION LOS ANGELES CA,CRIMSON LION LOS ANGELES CA,10.95,debit,Hair,Discover,,
12/07/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,139.69,credit,Credit Card Payment,Discover,,
12/07/2019,SP * ROWDY GENTLEMAN 866-292-9694 TX,SP * ROWDY GENTLEMAN 866-292-9694 TX,43.25,debit,Clothing,Discover,,
12/04/2019,Prince of Whales,PRINCE OF WHALES PLAYA DEL REYCA,17.5,debit,Alcohol & Bars,Discover,,
12/04/2019,Prince of Whales,PRINCE OF WHALES PLAYA DEL REYCA,17.5,debit,Alcohol & Bars,Discover,,
12/04/2019,Prince of Whales,PRINCE OF WHALES PLAYA DEL REYCA,17.5,debit,Alcohol & Bars,Discover,,
11/26/2019,The Loft,LMU- HANNON LOFT LOS ANGELES CA,5.0,debit,Alcohol & Bars,Discover,,
11/23/2019,The Parlor,TST* THE PARLOR - HOLLYW LOS ANGELES CA,12.04,debit,Restaurants,Discover,,
11/23/2019,Subway,SUBWAY 00118125255 WEST CHESTER CA,14.87,debit,Fast Food,Discover,,
11/23/2019,The Parlor,TST* THE PARLOR - HOLLYW LOS ANGELES CA,12.04,debit,Restaurants,Discover,,
11/22/2019,Disney Plus,DISNEYPLUS 888-905-7888 CADISNEYPLUS,6.99,debit,Subscription,Discover,,
11/21/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,108.06,credit,Credit Card Payment,Discover,,
11/20/2019,Dina's Dumplings,DINAS DUMPLING LLC PASADENA CA,16.0,debit,Restaurants,Discover,,
11/20/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,20.25,debit,Groceries,Discover,,
11/18/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,21.56,credit,Credit Card Payment,Discover,,
11/16/2019,IHOP,IHOP WESTCHESTER WESTCHESTER CA,54.8,debit,Restaurants,Discover,,
11/15/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,63.04,debit,Groceries,Discover,,
11/14/2019,Loyola Marymount University,LOYOLA MARYMOUNT 310-338-4265 CA,10.0,debit,Education,Discover,,
11/13/2019,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,1.78,debit,Books,Discover,,
11/11/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,53.43,credit,Credit Card Payment,Discover,,
11/03/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,21.56,credit,Credit Card Payment,Discover,,
10/27/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,147.8,credit,Credit Card Payment,Discover,,
10/26/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,25.17,debit,Groceries,Discover,,
10/24/2019,Loyola Marymount University,LOYOLA MARYMOUNT 310-338-4265 CA,10.0,debit,Education,Discover,,
10/24/2019,Shell,SHELL 57444404008 LOS ANGELES CA,39.82,debit,Gas & Fuel,Discover,,
10/23/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,21.56,credit,Credit Card Payment,Discover,,
10/22/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,36.33,debit,Groceries,Discover,,
10/21/2019,Foundation Dr,B FOUNDATION 302-563-8389 DE,10.0,debit,Gifts & Donations,Discover,,
10/21/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,21.56,credit,Credit Card Payment,Discover,,
10/19/2019,Knotts Berry Farm,KNOTT'S BERRY FARM ONLIN BUENA PARK CA,68.99,debit,Amusement,Discover,,
10/19/2019,Knotts Berry Farm,KNOTT'S BERRY FARM FOODS BUENA PARK CA,54.04,debit,Amusement,Discover,,
10/18/2019,SHRINE AUD 68272970937 LOS ANGELES CA,SHRINE AUD 68272970937 LOS ANGELES CA,3.0,debit,Alcohol & Bars,Discover,,
10/18/2019,KFC,KFC E791008 LOS ANGELES CA,6.56,debit,Fast Food,Discover,,
10/18/2019,MP-*CA NU 888-298-8845 CAMP-*CA NU,MP-*CA NU 888-298-8845 CAMP-*CA NU,12.0,debit,Charity,Discover,,
10/15/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,142.81,credit,Credit Card Payment,Discover,,
10/13/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,94.37,debit,Groceries,Discover,,
10/12/2019,Whiskey Red's,WHISKEY REDS - 2 MARINA DEL RECA,10.4,debit,Alcohol & Bars,Discover,,
10/12/2019,Panda Express,PANDA EXPRESS #171 MARINA DEL RECA,12.65,debit,Fast Food,Discover,,
10/12/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,25.65,credit,Credit Card Payment,Discover,,
10/12/2019,Whiskey Red's,WHISKEY REDS - 2 MARINA DEL RECA,9.31,debit,Alcohol & Bars,Discover,,
10/11/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,16.08,debit,Groceries,Discover,,
10/10/2019,Loyola Marymount University,LOYOLA MARYMOUNT UNIV HA LOS ANGELES CA,8.74,debit,Education,Discover,,
10/09/2019,LMUBOOKSTORE LOS ANGELES CA,LMUBOOKSTORE LOS ANGELES CA,16.91,debit,Books,Discover,,
10/09/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,104.27,credit,Credit Card Payment,Discover,,
10/06/2019,HABIT BURGE24088973579 LOS ANGELES CA,HABIT BURGE24088973579 LOS ANGELES CA,10.8,debit,Fast Food,Discover,,
10/05/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,11.77,debit,Groceries,Discover,,
10/05/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,16.43,debit,Groceries,Discover,,
10/04/2019,LMUHALLBOOKSTORE LOS ANGELES CA,LMUHALLBOOKSTORE LOS ANGELES CA,4.67,debit,Books,Discover,,
10/04/2019,Union 76,UNION 76 LOS ANGELES CA,40.34,debit,Gas & Fuel,Discover,,
10/04/2019,Paradise Restaurant,PARADISE RESTAURANT BAR GARDENA CA,20.26,debit,Restaurants,Discover,,
10/04/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,48.68,credit,Credit Card Payment,Discover,,
10/02/2019,Martin Gonzales,SQ *MARTIN GONZALEZ INGLEWOOD CA000115292150881742,30.0,debit,Business Services,Discover,,
10/01/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,18.68,debit,Groceries,Discover,,
9/28/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,181.66,credit,Credit Card Payment,Discover,,
9/22/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,148.31,debit,Groceries,Discover,,
9/21/2019,Ralphs,RALPHS #0278 LOS ANGELES CA,15.92,debit,Groceries,Discover,,
9/19/2019,Baja Sharkeez,BAJA SHARKEEZ - MANHATTA MANHATTAN BEACA,17.43,debit,Alcohol & Bars,Discover,,
9/19/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,65.51,credit,Credit Card Payment,Discover,,
9/17/2019,INTERNET PAYMENT - THANK YOU,INTERNET PAYMENT - THANK YOU,27.38,credit,Credit Card Payment,Discover,,
9/16/2019,Ross,ROSS STORES #1683 LOS ANGELES CA,55.82,debit,Clothing,Discover,,
